Price,Day,Month,Year,District,Sector,Unit1,Unit2,Property Type,Old/New,Duration
97500,30,12,2003,14,0,1,10,3,1,1
113700,11,12,2007,14,0,1,10,3,1,1
100000,15,12,2005,14,0,1,10,3,1,1
92500,30,12,2003,14,0,1,10,3,1,1
117500,8,6,2007,14,0,1,10,3,1,1
97500,30,12,2003,14,0,1,10,3,1,1
114000,31,1,2007,14,0,1,10,3,1,1
92500,30,12,2003,14,0,1,10,3,1,1
125000,31,1,2007,14,0,1,10,3,1,1
97500,30,12,2003,14,0,1,10,3,1,1
108000,31,1,2007,14,0,1,10,3,1,1
92500,30,12,2003,14,0,1,10,3,1,1
117500,15,6,2007,14,0,1,10,3,1,1
97500,30,12,2003,14,0,1,10,3,1,1
110000,31,1,2007,14,0,1,10,3,1,1
92500,30,12,2003,14,0,1,10,3,1,1
1000000,10,7,2000,14,0,1,12,0,1,0
130000,7,8,2006,14,0,1,14,2,1,1
23000,17,7,1998,14,0,1,14,3,1,1
20500,17,7,1998,14,0,1,14,3,1,1
130000,7,8,2006,14,0,1,14,2,1,0
210000,14,2,2002,14,0,1,14,2,1,0
187000,16,3,2005,14,0,1,14,2,1,0
135000,22,3,2002,14,0,1,14,2,1,0
215000,25,11,2015,14,0,1,14,2,1,0
450000,5,6,2018,14,0,1,14,4,1,0
175000,25,11,2011,14,0,1,16,2,1,0
63000,13,8,1999,14,0,1,16,2,1,0
180000,5,10,2007,14,0,1,16,2,1,1
95000,12,2,2002,14,0,1,16,1,1,0
232000,25,1,2017,14,0,1,16,2,1,0
83000,14,6,2013,14,0,1,16,3,1,1
92500,24,10,2011,14,0,1,16,2,1,1
110000,30,10,2007,14,0,1,16,2,1,1
57500,4,7,2003,14,0,1,16,2,1,1
113000,29,2,2008,14,0,1,16,3,1,1
42000,1,11,1996,14,0,1,16,2,1,0
246000,5,6,2019,14,0,1,16,2,1,0
160000,31,8,2004,14,0,1,16,2,1,0
42000,10,1,1997,14,0,1,16,2,1,0
70000,29,9,2000,14,0,1,16,1,1,0
55000,22,3,2000,14,0,1,16,1,1,0
93000,5,4,2005,14,0,1,16,2,1,0
55000,15,7,1998,14,0,1,17,2,1,1
90000,15,12,2004,14,0,1,17,2,1,0
250000,10,5,2018,14,0,1,17,4,1,0
120000,16,11,2010,14,0,1,17,2,1,1
24000,5,6,1995,14,0,1,17,2,1,1
59000,12,4,2001,14,0,1,17,2,1,0
87500,27,6,2012,14,0,1,17,3,1,1
75500,10,6,2011,14,0,1,17,2,1,1
23000,1,3,1995,14,0,1,17,1,1,1
192500,15,12,2015,14,0,1,18,2,1,0
110000,12,11,2010,14,0,1,18,2,1,0
156500,12,12,2006,14,0,1,18,2,1,0
116000,5,12,2003,14,0,1,18,2,1,0
41000,27,2,1998,14,0,1,18,2,1,0
48000,15,12,1995,14,0,1,18,1,1,0
180000,23,5,2016,14,0,1,18,2,1,0
50000,27,2,1998,14,0,1,18,2,1,0
160000,14,10,2005,14,0,1,18,2,1,0
136000,30,5,2003,14,0,1,18,2,1,0
126000,10,9,2002,14,0,1,18,2,1,0
54500,31,3,1999,14,0,1,18,2,1,0
160000,17,11,2008,14,0,1,18,2,1,1
122000,16,8,2002,14,0,1,18,2,1,1
71000,9,6,2000,14,0,1,18,2,1,1
57000,7,9,1998,14,0,1,18,2,1,1
30000,16,4,1997,14,0,1,18,2,1,1
180270,3,9,2007,14,0,1,18,2,1,0
57500,24,3,2000,14,0,1,18,2,1,0
115000,21,5,2014,14,0,1,18,2,1,0
111000,30,4,2013,14,0,1,18,2,1,0
168000,14,5,2014,14,0,1,20,2,1,1
145000,6,8,2010,14,0,1,20,2,1,1
82000,19,4,2002,14,0,1,20,2,1,0
165000,22,3,2013,14,0,1,20,2,1,0
167000,5,7,2013,14,0,1,20,2,1,1
149950,17,3,2004,14,0,1,20,2,1,1
151000,10,12,2010,14,0,1,20,2,1,1
57500,18,6,1999,14,0,1,20,2,1,1
48000,19,6,1998,14,0,1,20,2,1,0
188650,6,5,2016,14,0,1,20,2,1,1
220000,3,12,2018,14,0,1,20,2,1,0
161000,26,9,2014,14,0,1,20,2,1,1
118500,19,5,2006,14,0,1,20,2,1,0
48000,1,9,1998,14,0,1,20,2,1,0
50500,16,10,1998,14,0,1,20,2,1,0
42000,22,11,1996,14,0,1,20,2,1,0
43000,17,11,1995,14,0,1,20,2,1,1
175000,12,3,2018,14,0,1,20,2,1,0
199000,29,3,2019,14,0,1,20,2,1,1
150000,30,11,2007,14,0,1,20,2,1,1
84950,6,12,2001,14,0,1,20,2,1,0
63000,2,6,2000,14,0,1,20,2,1,0
47000,25,9,1997,14,0,1,20,2,1,0
65000,27,9,2000,14,0,1,21,2,1,1
66000,24,9,2008,14,0,1,21,3,1,1
83000,15,6,2001,14,0,1,21,3,1,1
49000,26,5,1998,14,0,1,21,2,1,1
56000,23,3,2001,14,0,1,21,2,1,1
178500,22,7,2011,14,0,1,21,2,1,0
41000,9,12,1996,14,0,1,21,2,1,0
27500,20,9,1996,14,0,1,21,2,1,1
100000,29,7,2002,14,0,1,21,2,1,0
215000,19,12,2018,14,0,1,21,2,1,0
165000,19,8,2005,14,0,1,21,2,1,0
139000,23,7,2003,14,0,1,21,2,1,0
130000,13,8,2002,14,0,1,21,2,1,0
46000,19,5,1995,14,0,1,21,2,1,0
222000,29,3,2018,14,0,1,21,2,1,0
135000,4,11,2003,14,0,1,21,2,1,0
118000,13,6,2003,14,0,1,21,2,1,0
99000,21,3,2003,14,0,1,23,2,1,0
80000,6,11,2002,14,0,1,23,2,1,0
123000,13,7,2009,14,0,1,23,2,1,0
145000,29,9,2006,14,0,1,23,2,1,0
63000,25,9,2000,14,0,1,23,2,1,0
32250,15,9,1995,14,0,1,23,2,1,0
130000,12,5,2010,14,0,1,23,2,1,1
130000,12,5,2010,14,0,1,23,2,1,1
150000,9,12,2011,14,0,1,23,2,1,1
65000,11,8,2000,14,0,1,23,2,1,1
85000,21,6,2002,14,0,1,23,2,1,1
153000,20,2,2015,14,0,1,23,2,1,0
65000,24,8,2001,14,0,1,23,2,1,0
180000,12,10,2009,14,0,1,24,2,1,1
158000,20,10,2017,14,0,1,24,2,1,0
40000,30,9,1997,14,0,1,24,2,1,0
138000,19,5,2015,14,0,1,24,2,1,0
82000,24,5,2002,14,0,1,24,2,1,0
66500,5,1,2001,14,0,1,24,2,1,0
100000,5,9,2014,14,0,1,24,2,1,0
146500,23,2,2015,14,0,1,24,2,1,0
126000,14,11,2005,14,0,1,24,2,1,0
71500,27,6,2001,14,0,1,24,2,1,0
29950,18,9,1996,14,0,1,24,2,1,0
60000,29,6,2001,14,0,1,24,2,1,0
30000,1,3,1996,14,0,1,24,2,1,0
100000,1,9,2003,14,0,1,24,2,1,0
76500,22,9,2000,14,0,1,24,3,1,1
150000,23,9,2008,14,0,1,24,2,1,0
41000,20,5,1999,14,0,1,24,2,1,0
28500,16,8,1995,14,0,1,24,2,1,0
100000,11,7,2003,14,0,1,24,2,0,0
68950,1,11,2000,14,0,1,24,2,1,1
33000,20,6,1996,14,0,1,24,2,1,0
140000,22,12,2009,14,0,1,24,2,1,0
127000,26,8,2005,14,0,1,24,2,1,0
81995,22,11,2001,14,0,1,26,2,1,0
188000,15,8,2003,14,0,1,26,2,1,0
181000,18,7,2003,14,0,1,26,2,1,1
249600,15,5,2019,14,0,1,26,2,1,1
176000,23,9,2005,14,0,1,26,2,1,1
57000,31,10,2003,14,0,1,26,1,1,1
52000,15,9,1999,14,0,1,26,1,1,1
162500,4,4,2003,14,0,1,26,2,1,1
185000,10,2,2004,14,0,1,26,2,1,1
51000,11,10,1996,14,0,1,26,2,1,0
235000,30,8,2006,14,0,2,1,2,1,0
185000,3,5,2006,14,0,2,1,2,1,0
66000,10,12,1999,14,0,2,1,2,1,0
235000,5,9,2006,14,0,2,1,2,1,0
66000,13,8,1999,14,0,2,1,2,1,0
37000,19,4,1996,14,0,2,1,2,1,0
267000,16,11,2007,14,0,2,1,2,1,0
136000,15,9,2006,14,0,2,1,3,1,1
33120,1,11,2002,14,0,2,1,3,1,1
80000,26,7,2017,14,0,2,2,4,1,0
63662,23,4,1999,14,0,2,2,2,1,0
121000,8,5,2006,14,0,2,2,3,1,1
125000,22,6,2004,14,0,2,2,2,1,1
125000,22,6,2004,14,0,2,2,1,1,1
215000,28,2,2007,14,0,2,2,2,1,0
188000,16,5,2005,14,0,2,2,2,1,0
140000,10,7,2003,14,0,2,2,2,1,0
65000,30,4,1998,14,0,2,2,2,1,0
27650,16,9,1997,14,0,2,2,2,1,0
227000,1,12,2014,14,0,2,2,2,1,0
51000,25,7,1997,14,0,2,2,2,1,0
90000,20,7,2010,14,0,2,4,3,1,1
115000,8,5,2012,14,0,2,4,3,1,1
122000,20,11,2015,14,0,2,4,3,1,1
129950,15,9,2006,14,0,2,4,3,1,1
166500,7,11,2007,14,0,2,7,2,1,0
215000,8,10,2018,14,0,2,7,2,1,0
125000,29,4,2015,14,0,2,7,2,1,0
179950,3,1,2007,14,0,2,7,2,1,0
155000,15,7,2005,14,0,2,7,2,1,0
48500,31,10,1996,14,0,2,7,2,1,0
54000,20,10,1998,14,0,2,7,2,1,0
151000,30,6,2006,14,0,2,7,2,1,0
192000,5,8,2005,14,0,2,7,2,1,0
114500,4,4,2000,14,0,2,7,2,1,0
161750,8,9,2003,14,0,2,7,2,1,0
54000,18,9,1998,14,0,2,7,2,1,0
170000,17,2,2006,14,0,2,7,2,1,0
77500,29,5,2003,14,0,2,7,2,1,1
220000,6,4,2018,14,0,2,7,2,1,0
172000,15,9,2017,14,0,2,7,2,1,0
163000,13,9,2012,14,0,2,7,2,1,0
71000,8,6,2001,14,0,2,7,2,1,0
40000,18,8,1999,14,0,2,7,2,1,0
27000,31,8,1995,14,0,2,8,1,1,0
120000,1,7,2005,14,0,2,8,2,1,0
132500,22,3,2004,14,0,2,8,2,1,0
72750,7,1,2005,14,0,2,8,2,1,0
35000,28,4,1995,14,0,2,8,2,1,0
25000,1,9,1995,14,0,2,8,2,1,0
22000,31,5,1995,14,0,2,14,2,1,0
89000,3,9,2004,14,0,2,14,3,1,1
21000,5,6,1998,14,0,2,14,3,1,1
175000,7,11,2008,14,0,2,14,2,1,1
140000,2,12,2005,14,0,2,14,2,1,0
50000,3,2,1998,14,0,2,14,2,1,0
174000,2,10,2009,14,0,2,14,2,1,0
22795,9,11,1998,14,0,2,14,2,1,0
47000,2,2,1996,14,0,2,14,2,1,0
177000,27,2,2004,14,0,2,14,2,1,1
250000,30,1,2007,14,0,2,14,2,1,0
243000,17,4,2008,14,0,2,14,2,1,0
140000,1,11,2006,14,0,2,14,2,1,0
42500,29,9,1995,14,0,2,14,2,1,0
185000,23,12,2015,14,0,2,14,2,1,1
45000,20,1,1998,14,0,2,14,2,1,1
38000,18,10,1996,14,0,2,14,2,1,1
300000,26,9,2018,14,0,2,14,2,1,0
55000,30,4,1998,14,0,2,14,2,1,0
162000,12,6,2015,14,0,2,16,2,1,0
157786,12,1,2015,14,0,2,16,2,1,0
135000,16,6,2003,14,0,2,16,2,1,0
25000,15,5,1996,14,0,2,16,2,1,0
160000,1,9,2006,14,0,2,16,2,1,0
80000,22,8,2003,14,0,2,16,2,1,0
75000,12,6,2003,14,0,2,16,2,1,0
81000,27,7,2001,14,0,2,16,2,1,0
35000,10,1,1997,14,0,2,16,2,1,0
173000,3,6,2005,14,0,2,16,2,1,0
38000,11,10,1996,14,0,2,16,2,1,0
59500,11,2,2000,14,0,2,16,2,1,1
160000,6,7,2009,14,0,2,16,1,1,1
160000,17,6,2005,14,0,2,16,1,1,1
130000,12,3,2004,14,0,2,16,2,1,0
50000,30,9,2002,14,0,2,16,2,1,0
74000,10,2,2000,14,0,2,16,2,1,0
109500,16,1,2012,14,0,2,16,3,1,1
112500,11,4,2008,14,0,2,16,3,1,1
165000,23,11,2007,14,0,2,16,2,1,0
32000,4,10,2004,14,0,2,16,3,1,1
169800,27,1,2017,14,0,2,16,2,1,1
72000,28,3,2000,14,0,2,16,2,1,1
155250,5,6,2006,14,0,2,16,2,1,1
161000,3,5,2005,14,0,2,16,2,1,1
132000,25,8,2004,14,0,2,17,2,1,1
60000,28,3,2001,14,0,2,17,2,1,1
176000,31,3,2010,14,0,2,17,2,1,0
51500,20,11,1997,14,0,2,17,2,1,0
24000,18,8,1997,14,0,2,17,3,1,1
26300,6,4,1995,14,0,2,17,3,1,1
74500,15,6,2000,14,0,2,17,2,1,0
37000,5,8,1996,14,0,2,17,2,1,1
180000,4,11,2011,14,0,2,17,2,1,1
125000,6,10,2004,14,0,2,17,2,1,1
88000,15,6,2004,14,0,2,17,2,1,1
80000,18,9,2001,14,0,2,17,2,1,1
150000,30,5,2003,14,0,2,17,2,1,1
166000,16,6,2006,14,0,2,17,2,1,0
30000,21,12,1999,14,0,2,17,2,1,1
158000,26,7,2004,14,0,2,17,2,1,1
145000,31,7,2003,14,0,2,17,2,1,1
58000,14,8,1998,14,0,2,17,2,1,1
46000,26,7,1996,14,0,2,17,2,1,1
173500,31,1,2014,14,0,2,17,2,1,1
160000,8,2,2013,14,0,2,17,2,1,1
47950,24,2,1995,14,0,2,17,2,1,1
41000,15,11,1995,14,0,2,17,2,1,0
165000,29,9,2010,14,0,2,17,2,1,0
136500,22,9,2005,14,0,2,17,2,1,0
170000,12,4,2013,14,0,2,17,2,1,1
250000,24,3,2016,14,0,2,17,2,1,1
179000,13,7,2007,14,0,2,17,2,1,1
145500,10,3,2004,14,0,2,17,2,1,1
146000,17,10,2003,14,0,2,17,2,1,1
26500,2,1,1997,14,0,2,17,2,1,1
54000,28,9,1998,14,0,2,17,2,1,1
160000,14,12,2007,14,0,2,17,2,1,1
115000,12,7,2002,14,0,2,17,2,1,1
82000,26,1,2001,14,0,2,17,2,1,1
115000,17,4,2013,14,0,2,17,2,1,1
170000,20,10,2008,14,0,2,17,1,1,1
165000,7,11,2006,14,0,2,17,1,1,1
180000,18,8,2011,14,0,2,17,2,1,1
54500,23,2,1998,14,0,2,17,2,1,1
25000,12,12,1995,14,0,2,17,2,1,1
55000,26,11,2001,14,0,2,19,2,1,0
170000,16,12,2016,14,0,2,19,2,1,1
132000,20,10,2006,14,0,2,19,2,1,1
125000,31,3,2003,14,0,2,19,2,1,1
168000,25,4,2016,14,0,2,19,2,1,0
158000,10,11,2005,14,0,2,19,2,1,0
100000,23,8,2002,14,0,2,19,2,1,0
210000,23,9,2016,14,0,2,19,2,1,0
179950,31,1,2007,14,0,2,19,2,1,0
147750,4,7,2006,14,0,2,19,2,1,0
76000,26,5,2000,14,0,2,19,2,1,0
100000,6,3,2019,14,0,2,20,2,1,1
150000,30,7,2004,14,0,2,20,2,1,0
126000,31,10,2003,14,0,2,20,2,1,0
46000,6,7,1998,14,0,2,20,2,1,1
157000,4,8,2006,14,0,2,20,2,1,1
47950,3,7,1998,14,0,2,20,2,1,1
144000,11,2,2005,14,0,2,20,2,1,1
96000,24,7,2002,14,0,2,20,2,1,1
96000,30,5,2002,14,0,2,20,2,1,1
45500,24,7,1998,14,0,2,20,2,1,1
134000,22,12,2003,14,0,2,20,2,1,0
77950,20,10,2000,14,0,2,20,2,1,0
42950,7,7,1998,14,0,2,20,2,1,1
170000,6,7,2017,14,0,2,20,4,1,0
170000,6,7,2017,14,0,2,20,2,1,1
40000,22,8,1997,14,0,2,20,2,1,1
145000,12,4,2005,14,0,2,20,2,1,0
60000,21,1,2000,14,0,2,20,2,1,0
51000,30,4,1998,14,0,2,20,2,1,0
52500,12,12,1997,14,0,2,20,2,1,0
167500,4,12,2014,14,0,2,20,2,1,0
152000,20,1,2006,14,0,2,20,2,1,0
100000,30,7,2004,14,0,2,20,2,1,0
62000,30,6,2000,14,0,2,20,2,1,0
49000,9,10,1998,14,0,2,20,2,1,0
149000,23,10,2007,14,0,2,20,2,1,1
94000,29,8,2003,14,0,2,20,2,1,1
35995,31,8,1995,14,0,2,20,2,1,1
142500,9,11,2017,14,0,2,20,2,1,0
43500,23,5,2000,14,0,2,20,2,1,0
35000,27,4,2001,14,0,2,20,2,1,1
40000,24,10,1997,14,0,2,21,2,1,1
87050,14,7,1997,14,0,2,21,2,1,0
34000,22,5,1997,14,0,2,21,2,1,1
191000,4,9,2015,14,0,2,21,2,1,1
76950,23,5,2001,14,0,2,21,2,1,1
51800,5,2,1998,14,0,2,21,2,1,1
38000,29,2,1996,14,0,2,21,2,1,1
30000,30,5,2000,14,0,2,21,2,1,1
64000,4,8,2000,14,0,2,21,2,1,0
33750,12,4,1996,14,0,2,21,2,1,0
67000,21,12,2001,14,0,2,21,2,1,0
43000,9,4,1996,14,0,2,21,2,1,0
45000,11,8,1995,14,0,2,21,2,1,0
180000,19,5,2017,14,0,2,21,2,1,0
28000,10,11,1995,14,0,2,21,2,1,0
112500,31,1,2003,14,0,2,21,2,1,0
59000,27,2,2001,14,0,2,21,2,1,0
44000,26,11,1999,14,0,2,21,2,1,1
44500,26,9,1997,14,0,2,21,2,1,0
168000,12,9,2014,14,0,2,21,2,1,0
39500,14,2,1997,14,0,2,21,2,1,0
60000,6,2,2002,14,0,2,23,2,1,0
30000,14,7,1999,14,0,2,23,2,1,0
170000,8,8,2018,14,0,2,23,2,1,1
150000,27,2,2008,14,0,2,23,2,1,1
40000,18,4,1997,14,0,2,23,2,1,1
134000,18,2,2003,14,0,2,23,2,1,0
96250,6,6,2002,14,0,2,23,2,1,0
210000,6,10,2017,14,0,2,23,2,1,1
48000,4,10,1999,14,0,2,23,2,1,1
40000,29,1,1996,14,0,2,23,2,1,1
125000,3,9,2003,14,0,2,24,2,1,0
104000,12,8,2002,14,0,2,24,2,1,1
119000,11,8,2005,14,0,2,24,2,1,0
77000,22,8,2001,14,0,2,24,2,1,0
40000,19,8,2005,14,0,2,24,2,1,1
29500,15,8,1997,14,0,2,24,2,1,1
165000,17,8,2007,14,0,2,24,2,1,0
195000,1,11,2018,14,0,2,24,2,1,0
70000,1,11,2001,14,0,2,24,2,1,0
165000,2,6,2006,14,0,2,24,2,1,0
165000,2,6,2006,14,0,2,24,2,1,1
110950,19,9,2002,14,0,2,24,2,1,0
110950,19,9,2002,14,0,2,24,2,1,1
52500,17,12,1999,14,0,2,24,2,1,1
120000,29,7,2005,14,0,2,24,2,1,0
153000,6,6,2014,14,0,2,24,2,1,0
119950,11,7,2003,14,0,2,24,2,1,0
34000,14,11,1995,14,0,2,25,2,1,0
132500,31,10,2008,14,0,2,25,2,1,1
51000,12,10,1998,14,0,2,25,2,1,1
55000,28,2,2003,14,0,2,25,2,1,0
33000,4,4,1997,14,0,2,25,2,1,1
165000,26,2,2007,14,0,2,25,2,1,0
74950,26,1,2001,14,0,2,25,2,1,0
25500,2,10,1996,14,0,2,25,2,1,1
186000,21,6,2019,14,0,2,25,2,1,0
154000,16,11,2007,14,0,2,25,2,1,0
84995,20,2,2002,14,0,2,25,2,1,0
33750,10,6,1997,14,0,2,25,2,1,0
105000,10,1,2003,14,0,2,25,2,1,0
65000,19,5,2000,14,0,2,25,2,1,0
37000,1,4,1997,14,0,2,25,2,1,0
135000,13,4,2006,14,0,2,25,2,1,0
60000,24,7,2001,14,0,4,2,2,1,0
47000,31,3,1998,14,0,4,2,2,1,0
56000,30,9,1999,14,0,4,2,2,1,0
49500,7,11,1997,14,0,4,2,2,1,0
52500,26,11,1999,14,0,4,2,2,1,1
163000,16,6,2006,14,0,4,2,2,1,0
120000,9,5,2003,14,0,4,2,2,1,0
41200,25,10,1996,14,0,4,2,2,1,1
79000,15,12,2000,14,0,4,2,2,1,0
35000,3,7,1995,14,0,4,2,2,1,1
172000,14,2,2019,14,0,4,2,2,1,1
150000,7,3,2008,14,0,4,2,2,1,0
150000,7,3,2008,14,0,4,2,2,1,1
119000,6,8,2004,14,0,4,2,2,1,0
49000,4,12,1998,14,0,4,2,2,1,0
130000,19,10,2004,14,0,4,2,2,1,0
143000,11,7,2005,14,0,4,2,2,1,0
140000,11,6,2004,14,0,4,2,2,1,0
182000,26,3,2012,14,0,4,2,2,1,0
49000,31,3,1998,14,0,4,2,2,1,0
205000,12,9,2018,14,0,4,2,2,1,1
95000,30,12,2002,14,0,4,2,2,1,1
249999,5,9,2007,14,0,4,2,2,1,0
159950,17,9,2004,14,0,4,5,2,1,0
58000,17,12,1999,14,0,4,5,2,1,0
65000,15,3,2002,14,0,4,5,2,1,1
170000,24,2,2015,14,0,4,6,2,1,1
167500,23,5,2003,14,0,4,6,2,1,1
155000,24,3,2016,14,0,4,7,2,1,1
145000,20,9,2006,14,0,4,7,2,1,1
145000,2,11,2005,14,0,4,7,2,1,1
32000,17,3,1997,14,0,4,7,2,1,1
130000,15,9,2014,14,0,4,7,2,1,1
50000,20,9,1999,14,0,4,7,2,1,1
104000,12,11,2003,14,0,4,7,2,1,0
70000,8,1,2002,14,0,4,7,2,1,0
48000,2,10,2000,14,0,4,7,2,1,0
22000,19,12,1996,14,0,4,7,2,1,0
149500,29,10,2007,14,0,4,7,2,1,1
107000,21,2,2003,14,0,4,7,2,1,1
39000,8,4,1998,14,0,4,7,2,1,1
31500,27,1,1997,14,0,4,7,2,1,1
127000,30,10,2003,14,0,4,7,2,1,1
46995,31,3,1998,14,0,4,7,2,1,0
175000,23,8,2018,14,0,4,7,2,1,0
37500,19,12,1996,14,0,4,7,2,1,0
160000,31,1,2007,14,0,4,7,3,1,1
153000,19,11,2012,14,0,4,8,2,1,1
190000,14,11,2017,14,0,4,8,2,1,1
167000,31,3,2006,14,0,4,8,2,1,1
35000,20,3,1997,14,0,4,8,2,1,1
175000,6,3,2018,14,0,4,8,2,1,1
150000,22,12,2005,14,0,4,8,2,1,1
139250,19,11,2010,14,0,4,8,2,1,1
130000,30,6,2004,14,0,4,8,2,1,0
180000,20,7,2011,14,0,4,8,2,1,0
118000,24,2,2004,14,0,4,8,2,1,0
55000,7,6,2001,14,0,4,8,2,1,1
47000,30,9,1999,14,0,4,8,2,1,1
35500,26,2,1999,14,0,4,8,2,1,0
90000,9,12,2002,14,0,4,10,2,1,0
222500,20,3,2006,14,0,4,10,2,1,0
130000,24,1,2003,14,0,4,10,2,1,0
70000,21,5,1999,14,0,4,10,2,1,1
44000,13,6,1997,14,0,4,12,2,1,1
60000,7,9,2000,14,0,4,12,2,1,1
59000,10,5,2000,14,0,4,12,2,1,1
164000,2,11,2005,14,0,4,12,2,1,0
56950,7,10,1999,14,0,4,12,2,1,0
170000,5,11,2004,14,0,4,12,2,1,0
64000,4,9,2003,14,0,4,12,2,1,0
37000,26,4,2002,14,0,4,12,2,1,0
33000,4,1,2002,14,0,4,12,2,1,0
80000,19,10,2001,14,0,4,12,2,1,0
43500,3,6,1998,14,0,4,12,2,1,0
165000,29,4,2005,14,0,4,12,2,1,0
70000,31,3,2000,14,0,4,12,2,1,0
26200,20,9,1996,14,0,4,12,2,1,0
34000,23,1,1996,14,0,4,12,2,1,0
113000,18,10,2002,14,0,4,12,2,1,1
140000,5,12,2008,14,0,4,12,2,1,1
135000,16,5,2005,14,0,4,12,2,1,1
60000,25,10,1999,14,0,4,12,2,1,1
48500,13,10,1998,14,0,4,12,2,1,1
34500,9,7,1998,14,0,4,12,2,1,1
240000,6,6,2018,14,0,4,12,2,1,1
189000,18,7,2008,14,0,4,12,2,1,1
10000,27,6,1997,14,0,4,12,2,1,1
155000,9,9,2011,14,0,4,12,2,1,1
140000,15,5,2009,14,0,4,12,2,1,1
126000,21,11,2008,14,0,4,12,2,1,1
59000,21,1,2000,14,0,4,12,2,1,1
82500,1,8,2001,14,0,4,12,2,1,1
53950,26,11,1999,14,0,4,12,2,1,1
78000,20,12,2001,14,0,4,12,2,1,1
44000,4,4,1997,14,0,4,12,2,1,1
157000,13,8,2014,14,0,4,12,2,1,1
155000,11,6,2010,14,0,4,12,2,1,1
139000,7,5,2008,14,0,4,12,2,1,1
30000,26,6,1996,14,0,4,12,2,1,1
160000,4,2,2016,14,0,4,12,2,1,1
121000,4,12,2003,14,0,4,12,2,1,1
20000,23,6,1998,14,0,4,12,2,1,1
25000,10,10,1996,14,0,4,12,2,1,1
155250,5,6,2006,14,0,4,14,2,1,0
74995,31,3,2000,14,0,4,14,2,1,0
29750,20,5,1996,14,0,4,14,2,1,0
69000,17,12,1999,14,0,4,14,2,1,0
